iter	RMSE
0	13.97877601
1	13.06203092
2	12.26551018
3	11.60894551
4	10.97486163
5	10.39476953
6	9.906440407
7	9.439631429
8	9.045242182
9	8.672521645
10	8.299879189
11	7.975091813
12	7.695186317
13	7.422758107
14	7.246415399
15	7.061988217
16	6.839242016
17	6.663815354
18	6.521907173
19	6.389270138
20	6.262438371
21	6.149251365
22	6.071160669
23	5.982475018
24	5.88313537
25	5.811234309
26	5.737998648
27	5.680558009
28	5.622970145
29	5.568730653
30	5.532764661
31	5.49260276
32	5.460824087
33	5.421412694
34	5.38754697
35	5.353125051
36	5.324245254
37	5.296693607
38	5.268141418
39	5.240267645
40	5.215710261
41	5.201312347
42	5.183463558
43	5.165680292
44	5.148603527
45	5.135087552
46	5.117436049
47	5.090620409
48	5.076197029
49	5.0573982
50	5.045907432
51	5.041241382
52	5.028674396
53	5.020112099
54	5.009035566
55	5.000633941
56	4.990914157
57	4.976807849
58	4.964085393
59	4.957876045
60	4.949367158
61	4.94019364
62	4.923739875
63	4.917516179
64	4.907379378
65	4.89379926
66	4.89306049
67	4.886888753
68	4.87744826
69	4.865443491
70	4.847449753
71	4.840995451
72	4.825283649
73	4.807225672
74	4.79382413
75	4.785754678
76	4.780589929
77	4.771584619
78	4.755758322
79	4.743071776
80	4.736431916
81	4.727460065
82	4.725571701
83	4.715066231
84	4.707382292
85	4.700120323
86	4.689148188
87	4.679477223
88	4.673070909
89	4.658319965
90	4.652628935
91	4.637986572
92	4.632984217
93	4.625218035
94	4.616218704
95	4.605938917
96	4.59281468
97	4.586693033
98	4.577043879
99	4.573491009
