iter	Passed	Remaining
0	1	117
1	2	120
2	3	111
3	4	99
4	5	95
5	6	94
6	6	89
7	7	91
8	8	89
9	9	88
10	10	86
11	11	85
12	12	84
13	13	83
14	15	86
15	16	85
16	17	84
17	18	83
18	19	82
19	20	81
20	21	80
21	22	79
22	23	78
23	24	77
24	25	76
25	26	75
26	27	73
27	28	73
28	29	72
29	30	71
30	31	70
31	32	69
32	33	67
33	34	66
34	35	65
35	36	64
36	37	64
37	38	63
38	39	62
39	40	61
40	41	60
41	42	59
42	43	58
43	44	57
44	45	56
45	46	54
46	47	54
47	48	53
48	50	52
49	51	51
50	52	50
51	53	49
52	54	48
53	55	47
54	56	45
55	57	44
56	58	43
57	59	42
58	60	41
59	61	40
60	62	39
61	63	38
62	64	37
63	65	36
64	66	35
65	67	34
66	68	33
67	69	32
68	70	31
69	71	30
70	72	29
71	73	28
72	74	27
73	75	26
74	76	25
75	77	24
76	78	23
77	80	22
78	81	21
79	82	20
80	83	19
81	84	18
82	85	17
83	86	16
84	87	15
85	88	14
86	89	13
87	90	12
88	91	11
89	92	10
90	93	9
91	94	8
92	95	7
93	97	6
94	98	5
95	99	4
96	100	3
97	101	2
98	102	1
99	103	0
