iter	Passed	Remaining
0	1	1385
1	2	1214
2	3	1073
3	4	996
4	4	964
5	5	965
6	6	931
7	7	903
8	8	885
9	8	872
10	9	857
11	10	845
12	11	890
13	13	922
14	14	921
15	14	913
16	15	909
17	16	897
18	17	882
19	18	886
20	18	875
21	19	865
22	20	856
23	20	849
24	21	841
25	22	835
26	22	827
27	23	822
28	24	818
29	25	815
30	26	834
31	27	827
32	28	821
33	28	813
34	29	807
35	30	807
36	31	806
37	31	804
38	33	833
39	34	829
40	35	824
41	36	821
42	36	817
43	37	815
44	38	814
45	39	809
46	41	834
47	41	832
48	42	829
49	43	826
50	44	823
51	45	820
52	45	816
53	46	812
54	47	808
55	47	806
56	48	804
57	49	804
58	50	800
59	50	797
60	51	793
61	52	790
62	52	787
63	53	786
64	55	792
65	56	794
66	57	795
67	57	794
68	58	792
69	59	788
70	60	785
71	60	784
72	62	789
73	62	787
74	63	787
75	64	784
76	65	780
77	65	779
78	66	776
79	67	775
80	68	776
81	69	778
82	70	777
83	71	774
84	71	773
85	72	771
86	73	771
87	74	770
88	75	769
89	76	769
90	76	768
91	77	765
92	78	764
93	79	765
94	80	765
95	81	763
96	81	761
97	82	762
98	84	769
99	85	769
100	86	767
101	87	766
102	87	766
103	88	764
104	89	762
105	90	760
106	91	759
107	91	757
108	92	754
109	93	752
110	93	750
111	94	748
112	95	746
113	95	744
114	96	744
115	98	750
116	99	748
117	99	746
118	100	744
119	101	742
120	101	739
121	102	738
122	103	737
123	104	736
124	104	734
125	105	732
126	105	728
127	106	725
128	107	724
129	107	722
130	108	721
131	109	719
132	110	719
133	111	717
134	112	717
135	113	718
136	113	717
137	114	716
138	115	714
139	116	713
140	116	711
141	117	709
142	117	705
143	118	701
144	118	700
145	119	699
146	120	697
147	121	696
148	121	695
149	122	693
150	123	692
151	123	690
152	124	688
153	125	687
154	125	686
155	126	685
156	127	685
157	128	685
158	129	683
159	130	682
160	130	682
161	131	681
162	132	679
163	133	679
164	134	678
165	134	676
166	135	675
167	136	674
168	136	673
169	137	671
170	138	670
171	139	669
172	139	668
173	141	669
174	141	668
175	142	666
176	142	664
177	143	663
178	144	662
179	145	663
180	146	662
181	147	661
182	148	660
183	148	660
184	149	659
185	150	658
186	151	657
187	151	655
188	152	654
189	153	652
190	153	651
191	154	650
192	155	651
193	157	652
194	157	651
195	158	650
196	159	650
197	160	648
198	160	647
199	161	646
200	162	645
201	163	645
202	164	644
203	164	643
204	165	642
205	166	641
206	167	640
207	167	639
208	168	638
209	169	639
210	170	638
211	171	637
212	172	636
213	172	633
214	173	632
215	173	631
216	174	630
217	175	628
218	176	627
219	176	626
220	177	625
221	178	623
222	178	622
223	179	621
224	180	620
225	180	619
226	181	618
227	182	617
228	183	616
229	184	616
230	185	616
231	185	615
232	186	614
233	187	613
234	188	612
235	188	611
236	189	610
237	190	609
238	191	609
239	192	608
240	192	607
241	193	606
242	194	605
243	194	604
244	195	603
245	196	602
246	197	601
247	198	601
248	199	601
249	200	600
250	201	600
251	201	599
252	202	598
253	203	597
254	204	597
255	205	596
256	206	597
257	207	597
258	208	596
259	209	595
260	209	594
261	210	593
262	211	593
263	214	598
264	215	598
265	216	597
266	217	597
267	218	596
268	219	596
269	220	595
270	221	595
271	222	594
272	222	593
273	223	592
274	224	591
275	225	591
276	226	590
277	227	590
278	228	590
279	229	589
280	230	588
281	230	587
282	232	587
283	233	588
284	234	589
285	236	589
286	237	589
287	238	588
288	239	588
289	240	587
290	241	587
291	242	587
292	243	586
293	244	586
294	245	585
295	245	584
296	246	584
297	247	583
298	249	584
299	250	584
300	251	583
301	252	583
302	253	582
303	254	581
304	255	581
305	256	582
306	257	581
307	258	581
308	259	580
309	260	580
310	261	579
311	262	578
312	263	578
313	264	577
314	265	576
315	266	576
316	267	575
317	268	575
318	269	574
319	270	575
320	271	574
321	272	574
322	273	573
323	274	573
324	275	572
325	276	571
326	277	570
327	278	569
328	279	569
329	280	568
330	280	567
331	281	567
332	282	566
333	283	566
334	285	566
335	286	566
336	287	565
337	288	565
338	289	564
339	290	564
340	291	563
341	292	562
342	293	562
343	294	561
344	295	561
345	296	560
346	297	559
347	298	559
348	300	559
349	301	559
350	301	558
351	303	557
352	304	557
353	304	556
354	305	555
355	306	554
356	307	554
357	308	553
358	309	552
359	310	552
360	311	551
361	312	551
362	314	552
363	315	552
364	317	551
365	318	551
366	319	551
367	320	550
368	321	550
369	322	549
370	323	548
371	324	548
372	325	547
373	326	547
374	328	546
375	329	546
376	330	546
377	332	546
378	333	546
379	334	546
380	335	545
381	336	545
382	338	544
383	339	543
384	340	543
385	341	542
386	342	542
387	343	542
388	344	541
389	345	540
390	346	540
391	347	539
392	349	539
393	350	538
394	351	538
395	352	537
396	353	537
397	354	536
398	355	535
399	356	534
400	357	534
401	359	534
402	360	533
403	361	532
404	362	532
405	363	531
406	364	530
407	365	530
408	366	529
409	367	528
410	368	528
411	369	527
412	370	526
413	371	526
414	373	525
415	374	525
416	375	525
417	377	525
418	378	524
419	379	523
420	380	522
421	381	522
422	382	521
423	383	520
424	384	520
425	385	519
426	387	520
427	389	519
428	390	519
429	391	518
430	392	517
431	393	517
432	394	516
433	395	515
434	396	514
435	397	514
436	398	513
437	399	512
438	400	511
439	405	516
440	406	515
441	407	514
442	408	514
443	409	513
444	411	512
445	412	511
446	413	511
447	414	510
448	415	509
449	416	509
450	418	508
451	419	508
452	420	508
453	421	507
454	422	506
455	424	506
456	425	505
457	426	504
458	427	503
459	428	503
460	429	502
461	431	502
462	432	501
463	433	500
464	434	499
465	435	499
466	436	498
467	437	497
468	439	497
469	440	496
470	441	495
471	442	494
472	443	494
473	444	493
474	446	493
475	447	492
476	448	491
477	449	491
478	450	490
479	451	489
480	452	488
481	454	487
482	455	487
483	456	486
484	457	485
485	458	484
486	460	484
487	461	484
488	463	483
489	464	483
490	465	482
491	466	481
492	468	481
493	469	480
494	470	479
495	471	479
496	472	478
497	473	477
498	474	476
499	476	476
500	477	475
501	478	474
502	479	473
503	480	472
504	481	471
505	482	470
506	483	469
507	484	469
508	485	468
509	486	467
510	487	466
511	489	466
512	490	465
513	491	465
514	493	464
515	494	463
516	495	462
517	496	461
518	497	460
519	498	459
520	499	459
521	500	458
522	501	457
523	502	456
524	504	456
525	505	455
526	506	454
527	508	454
528	508	453
529	509	452
530	510	451
531	511	450
532	513	449
533	514	448
534	515	447
535	516	446
536	517	445
537	518	445
538	519	444
539	521	443
540	522	443
541	523	442
542	524	441
543	525	440
544	526	439
545	527	438
546	528	437
547	529	436
548	530	436
549	531	435
550	533	434
551	534	433
552	535	433
553	536	432
554	538	431
555	539	430
556	540	429
557	541	429
558	542	428
559	543	427
560	544	426
561	545	425
562	547	424
563	548	423
564	549	423
565	550	422
566	551	421
567	552	420
568	553	419
569	554	418
570	555	417
571	557	416
572	558	415
573	559	415
574	560	414
575	561	413
576	563	412
577	564	411
578	565	411
579	566	410
580	567	409
581	568	408
582	569	407
583	571	406
584	572	405
585	573	405
586	574	404
587	575	403
588	577	402
589	579	402
590	580	401
591	581	400
592	582	399
593	584	399
594	585	398
595	586	397
596	587	396
597	588	395
598	590	395
599	593	395
600	595	395
601	596	394
602	597	393
603	598	392
604	600	391
605	601	390
606	602	390
607	603	389
608	604	388
609	606	387
610	608	387
611	609	386
612	611	385
613	612	385
614	613	384
615	614	383
616	615	382
617	617	381
618	618	380
619	619	379
620	621	379
621	622	378
622	623	377
623	624	376
624	626	375
625	627	374
626	628	373
627	629	373
628	630	372
629	632	371
630	633	370
631	634	369
632	635	368
633	637	367
634	638	366
635	639	365
636	640	365
637	641	364
638	642	363
639	643	362
640	645	361
641	646	360
642	647	359
643	648	358
644	650	358
645	651	357
646	652	356
647	654	355
648	655	354
649	656	353
650	657	352
651	658	351
652	659	350
653	661	349
654	662	348
655	663	348
656	665	347
657	666	346
658	667	345
659	669	344
660	670	343
661	671	342
662	672	341
663	673	340
664	674	339
665	676	339
666	677	338
667	678	337
668	680	336
669	681	335
670	682	334
671	683	333
672	685	332
673	686	331
674	687	331
675	688	330
676	689	329
677	691	328
678	692	327
679	694	326
680	695	325
681	696	324
682	697	323
683	699	322
684	700	322
685	701	321
686	703	320
687	704	319
688	705	318
689	707	317
690	709	317
691	710	316
692	712	315
693	713	314
694	715	313
695	717	313
696	718	312
697	719	311
698	720	310
699	725	310
700	727	310
701	728	309
702	730	308
703	731	307
704	732	306
705	733	305
706	735	304
707	736	303
708	738	303
709	739	302
710	740	301
711	742	300
712	744	299
713	745	298
714	746	297
715	748	296
716	749	295
717	750	294
718	752	294
719	754	293
720	755	292
721	757	291
722	759	290
723	761	290
724	762	289
725	763	288
726	765	287
727	767	286
728	768	285
729	770	284
730	772	284
731	777	284
732	784	285
733	787	285
734	789	284
735	791	284
736	794	283
737	801	284
738	803	283
739	805	283
740	806	281
741	808	281
742	810	280
743	812	279
744	814	278
745	815	277
746	816	276
747	818	275
748	823	276
749	831	277
750	834	276
751	836	275
752	837	274
753	839	273
754	845	274
755	846	273
756	848	272
757	850	271
758	853	270
759	855	270
760	861	270
761	864	269
762	866	269
763	874	270
764	876	269
765	878	268
766	880	267
767	887	268
768	889	267
769	890	266
770	892	265
771	894	264
772	895	263
773	898	262
774	901	261
775	903	260
776	905	259
777	907	258
778	911	258
779	918	259
780	920	258
781	922	257
782	924	256
783	926	255
784	931	255
785	933	254
786	935	253
787	937	252
788	939	251
789	941	250
790	944	249
791	946	248
792	948	247
793	950	246
794	952	245
795	953	244
796	955	243
797	960	243
798	962	242
799	964	241
800	966	240
801	968	239
802	970	238
803	974	237
804	976	236
805	980	236
806	982	235
807	984	233
808	986	232
809	987	231
810	998	232
811	1001	231
812	1003	230
813	1005	229
814	1007	228
815	1010	227
816	1011	226
817	1014	225
818	1016	224
819	1018	223
820	1019	222
821	1025	222
822	1027	221
823	1030	220
824	1032	219
825	1035	218
826	1044	218
827	1045	217
828	1046	215
829	1048	214
830	1049	213
831	1053	212
832	1055	211
833	1057	210
834	1058	209
835	1060	207
836	1061	206
837	1063	205
838	1065	204
839	1067	203
840	1069	202
841	1074	201
842	1076	200
843	1077	199
844	1079	198
845	1084	197
846	1086	196
847	1087	194
848	1088	193
849	1090	192
850	1091	191
851	1093	189
852	1095	188
853	1098	187
854	1099	186
855	1101	185
856	1102	184
857	1104	182
858	1106	181
859	1107	180
860	1108	179
861	1113	178
862	1116	177
863	1118	176
864	1120	174
865	1122	173
866	1123	172
867	1124	171
868	1127	169
869	1128	168
870	1130	167
871	1131	166
872	1135	165
873	1139	164
874	1144	163
875	1146	162
876	1148	161
877	1151	159
878	1152	158
879	1155	157
880	1158	156
881	1161	155
882	1163	154
883	1165	152
884	1167	151
885	1172	150
886	1174	149
887	1176	148
888	1178	147
889	1180	145
890	1182	144
891	1186	143
892	1188	142
893	1191	141
894	1192	139
895	1194	138
896	1197	137
897	1201	136
898	1204	135
899	1206	134
900	1208	132
901	1210	131
902	1214	130
903	1216	129
904	1218	127
905	1220	126
906	1222	125
907	1224	124
908	1229	123
909	1233	122
910	1237	120
911	1240	119
912	1244	118
913	1246	117
914	1249	116
915	1251	114
916	1253	113
917	1261	112
918	1267	111
919	1270	110
920	1275	109
921	1278	108
922	1283	107
923	1286	105
924	1290	104
925	1292	103
926	1295	102
927	1297	100
928	1300	99
929	1304	98
930	1306	96
931	1309	95
932	1311	94
933	1316	93
934	1322	91
935	1324	90
936	1327	89
937	1331	87
938	1335	86
939	1339	85
940	1343	84
941	1346	82
942	1352	81
943	1357	80
944	1359	79
945	1362	77
946	1368	76
947	1371	75
948	1373	73
949	1375	72
950	1377	70
951	1381	69
952	1384	68
953	1386	66
954	1389	65
955	1391	64
956	1395	62
957	1397	61
958	1399	59
959	1401	58
960	1404	56
961	1407	55
962	1411	54
963	1413	52
964	1416	51
965	1418	49
966	1424	48
967	1429	47
968	1432	45
969	1435	44
970	1440	43
971	1443	41
